formula,prediction,density,Density Score,index
SrLi4N2,104.778,0.117,2.440,"(363,)"
Ca3Au,40.200,0.101,1.588,"(6775,)"
Li7Sn2,45.949,0.109,1.577,"(2916,)"
LiErGe,56.022,0.125,1.523,"(2286,)"
LiLuPt2,85.739,0.166,1.469,"(9478,)"
LiB,88.085,0.172,1.429,"(6004, 10556, 12002)"
Er2ZnRu,84.169,0.168,1.426,"(3576,)"
Li3Au,34.330,0.106,1.425,"(4158,)"
Rb3Mg,27.170,0.103,1.336,"(11654,)"
Yb2SbAu,70.466,0.160,1.301,"(1627,)"
Sr3MnN3,81.322,0.177,1.259,"(3867,)"
Yb2AgSn,70.260,0.163,1.253,"(3767,)"
Sr6Sn2NO,47.364,0.137,1.230,"(3954,)"
HoTmMg2,72.078,0.168,1.218,"(7930,)"
Sm2AgSn,71.019,0.170,1.183,"(9664,)"
CaSmZn2,67.840,0.167,1.168,"(7645,)"
LiTmIn2,67.670,0.168,1.155,"(1516,)"
Nd2CdIn,67.784,0.170,1.126,"(1757,)"
Ca3BiSb,37.489,0.136,1.069,"(10141, 12035)"
Pr2ZnHg,61.820,0.169,1.038,"(9747,)"
LiTmHg2,53.004,0.168,0.907,"(7505,)"
NdTmTl2,56.642,0.173,0.902,"(7828,)"
Cs2CrCl4,103.019,0.241,0.772,"(8695,)"
Ca2MnO4,109.261,0.249,0.763,"(6432,)"
Li4UO5,55.022,0.185,0.716,"(1445,)"
Al(SnO2)2,114.064,0.266,0.619,"(12274,)"
Cr2FeS4,112.949,0.267,0.582,"(10667,)"
Ga2CoS4,111.865,0.267,0.571,"(10915,)"
Rb2Cr(BrCl)2,85.872,0.242,0.472,"(6095,)"
CrPO4,101.768,0.263,0.461,"(8423,)"
SF6,87.961,0.247,0.445,"(3504,)"
ThSiO4,96.586,0.264,0.359,"(5265,)"
Sm2Zr2O7,91.654,0.264,0.275,"(1052,)"
Na2Hf2O5,81.459,0.253,0.256,"(5667,)"
TmHfRu2,98.185,0.276,0.221,"(5643,)"
P2Pb2O7,87.475,0.264,0.202,"(2620,)"
CaPd3O4,90.618,0.270,0.180,"(4907,)"
MnAlRh2,104.009,0.287,0.175,"(4134,)"
U2CrN3,95.312,0.277,0.159,"(4049,)"
LiAlPt2,92.858,0.275,0.156,"(1535,)"
CaCu2O3,88.388,0.269,0.153,"(9260,)"
ScNbOs2,98.583,0.283,0.140,"(7695,)"
Sc2CoRu,100.144,0.285,0.139,"(1822,)"
ErB2Rh2C,98.262,0.284,0.123,"(9234,)"
TbGaRh2,95.283,0.282,0.096,"(5903,)"
BeGaRh2,98.671,0.287,0.093,"(7510,)"
CuAs,89.172,0.278,0.044,"(8273,)"
Ho2CF2,54.348,0.236,0.027,"(5837,)"
MgS,80.531,0.269,0.022,"(4276, 8303)"
CrGaP2,84.570,0.276,0.003,"(12049,)"
CeNiC2,86.875,0.279,-0.003,"(6463,)"
Mn3O4,76.187,0.266,-0.010,"(430,)"
ErCdCu4,92.175,0.287,-0.023,"(2222,)"
MgSiN2,83.576,0.277,-0.030,"(996, 8349, 10192)"
Ti2GaC,91.099,0.288,-0.044,"(2242,)"
MnSbPd2,90.198,0.286,-0.045,"(8808,)"
K2SnCl6,58.004,0.247,-0.058,"(6638,)"
Ho2Cr2C3,77.632,0.275,-0.099,"(5463,)"
LiZnAu2,77.255,0.274,-0.100,"(1523,)"
SmMn2O5,70.087,0.268,-0.139,"(2448,)"
CeIr2,78.041,0.279,-0.147,"(3299,)"
Cs2PbCl6,49.538,0.244,-0.158,"(4658,)"
Hf4N3,83.865,0.287,-0.162,"(8791,)"
ZrH3,50.456,0.249,-0.210,"(11587,)"
P3N5,71.132,0.277,-0.240,"(3224, 10607)"
DyCuSeO,62.686,0.267,-0.245,"(9616,)"
TbNi2,70.252,0.278,-0.262,"(4745,)"
YNiSb,64.517,0.271,-0.265,"(2184,)"
BaTe2,41.551,0.246,-0.308,"(2594,)"
BaTiS3,45.055,0.251,-0.324,"(7345,)"
Sc2CdAg,71.677,0.285,-0.329,"(9672,)"
Cs2RbInF6,35.433,0.240,-0.337,"(3959,)"
AsPdSe,59.893,0.272,-0.353,"(159,)"
TiBiRh,71.544,0.287,-0.356,"(12171,)"
Nd(CoSi)2,68.407,0.283,-0.357,"(4988,)"
Ni2Ge,70.865,0.286,-0.357,"(6397, 8356)"
Fe2W,71.752,0.288,-0.362,"(2551,)"
LaCu2,65.024,0.280,-0.375,"(2516,)"
YMg2,61.354,0.276,-0.376,"(8250,)"
Pr(CoSi)2,66.711,0.283,-0.382,"(6990,)"
Ho(SiRu)2,68.458,0.285,-0.384,"(5249,)"
DyIr3,64.220,0.280,-0.385,"(10752,)"
ZrGeTe,58.308,0.273,-0.390,"(963,)"
TaNiGe,69.263,0.288,-0.409,"(6576,)"
Fe3Sn2,66.903,0.286,-0.426,"(6695,)"
RbSbO3,36.297,0.248,-0.429,"(11666,)"
HfPbO3,48.638,0.265,-0.440,"(8564,)"
Mg(BeN)2,59.117,0.279,-0.457,"(4212,)"
NdBPd3,64.685,0.286,-0.463,"(10126,)"
V2C,63.268,0.289,-0.521,"(2527, 8038)"
CdCl2,35.140,0.257,-0.565,"(6593, 7332)"
Sc,45.686,0.273,-0.600,"(7306, 8817, 10379, 11015)"
Sr(ZnGe)2,52.808,0.282,-0.603,"(3387,)"
In2Se3,38.148,0.265,-0.616,"(1331,)"
Sc3AlC,55.315,0.287,-0.625,"(1032,)"
ZnCo3C,54.594,0.286,-0.630,"(6110,)"
Ba(CdAs)2,45.609,0.280,-0.696,"(5454,)"
Cu3P,48.506,0.286,-0.731,"(9259, 11250)"
HoCd3,26.684,0.280,-1.007,"(6185,)"
TbCd3,26.871,0.281,-1.017,"(6783,)"
